StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q11,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,Q112_1,Q112_2,Q112_3,Q65_First Click,Q65_Last Click,Q65_Page Submit,Q65_Click Count,Q254_1,Q254_2,Q254_3,Q254_4,Q255_First Click,Q255_Last Click,Q255_Page Submit,Q255_Click Count,Q265_1,Q265_2,Q265_3,Q265_4,Q265_5,Q265_6,Q265_7,Q265_8,Q265_9,Q265_10,Q266_First Click,Q266_Last Click,Q266_Page Submit,Q266_Click Count,Q8,Q9,Q10,Q17,Q17_17_TEXT,Q18,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please paste the survey code displayed on the website (https://faceoff.xyz) here.Doing this incorrectly can affect your payment.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please rate how much you agree/disagree with the following statements about the photo you downloaded from Face-Off. - I have no problem in uploading the downloaded photo to social media (Facebook/Instagram etc.).,Please rate how much you agree/disagree with the following statements about the photo you downloaded from Face-Off. - I am comfortable sharing the downloaded photo with my friends and family on social media (Facebook/Instagram etc.).,Please rate how much you agree/disagree with the following statements about the photo you downloaded from Face-Off. - I would upload the downloaded photo to social media (Facebook/Instagram etc.) in order to prevent automatic tagging of my face.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please rate how much you agree/disagree with the following statements. - It usually bothers me when online services ask me for personal information.,"Please rate how much you agree/disagree with the following statements. - When online services ask me for personal information, I sometimes think twice before providing it.",Please rate how much you agree/disagree with the following statements. - It bothers me to give personal information to so many online services.,Please rate how much you agree/disagree with the following statements. - I’m concerned that online services are collecting too much personal information about me.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please rate how much you agree/disagree with the following statements about Face-Off (i.e. downloading a perturbed image from www.faceoff.xyz) - I think that I would like to use this system frequently.,Please rate how much you agree/disagree with the following statements about Face-Off (i.e. downloading a perturbed image from www.faceoff.xyz) - I found the system unnecessarily complex.,Please rate how much you agree/disagree with the following statements about Face-Off (i.e. downloading a perturbed image from www.faceoff.xyz) - I thought the system was easy to use.,Please rate how much you agree/disagree with the following statements about Face-Off (i.e. downloading a perturbed image from www.faceoff.xyz) - I think that I would need the support of a technical person to be able to use this system.,Please rate how much you agree/disagree with the following statements about Face-Off (i.e. downloading a perturbed image from www.faceoff.xyz) - I found the various functions in this system were well integrated.,Please rate how much you agree/disagree with the following statements about Face-Off (i.e. downloading a perturbed image from www.faceoff.xyz) - I thought there was too much inconsistency in this system.,Please rate how much you agree/disagree with the following statements about Face-Off (i.e. downloading a perturbed image from www.faceoff.xyz) - I would imagine that most people would learn to use this system very quickly.,Please rate how much you agree/disagree with the following statements about Face-Off (i.e. downloading a perturbed image from www.faceoff.xyz) - I found the system very cumbersome to use.,Please rate how much you agree/disagree with the following statements about Face-Off (i.e. downloading a perturbed image from www.faceoff.xyz) - I felt very confident using the system.,Please rate how much you agree/disagree with the following statements about Face-Off (i.e. downloading a perturbed image from www.faceoff.xyz) - I needed to learn a lot of things before I could get going with this system.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please specify your gender,Please specify your age,Please pick your highest educational qualification,Which of the following best describes your primary occupation? - Selected Choice,Which of the following best describes your primary occupation? - Other - Text,Please provide your place of residence:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID250_TEXT""}","{""ImportId"":""QID262_FIRST_CLICK""}","{""ImportId"":""QID262_LAST_CLICK""}","{""ImportId"":""QID262_PAGE_SUBMIT""}","{""ImportId"":""QID262_CLICK_COUNT""}","{""ImportId"":""QID112_4""}","{""ImportId"":""QID112_10""}","{""ImportId"":""QID112_11""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID254_4""}","{""ImportId"":""QID254_5""}","{""ImportId"":""QID254_7""}","{""ImportId"":""QID254_8""}","{""ImportId"":""QID255_FIRST_CLICK""}","{""ImportId"":""QID255_LAST_CLICK""}","{""ImportId"":""QID255_PAGE_SUBMIT""}","{""ImportId"":""QID255_CLICK_COUNT""}","{""ImportId"":""QID265_4""}","{""ImportId"":""QID265_5""}","{""ImportId"":""QID265_6""}","{""ImportId"":""QID265_7""}","{""ImportId"":""QID265_8""}","{""ImportId"":""QID265_10""}","{""ImportId"":""QID265_11""}","{""ImportId"":""QID265_12""}","{""ImportId"":""QID265_13""}","{""ImportId"":""QID265_14""}","{""ImportId"":""QID266_FIRST_CLICK""}","{""ImportId"":""QID266_LAST_CLICK""}","{""ImportId"":""QID266_PAGE_SUBMIT""}","{""ImportId"":""QID266_CLICK_COUNT""}","{""ImportId"":""QID247""}","{""ImportId"":""QID248_TEXT""}","{""ImportId"":""QID249""}","{""ImportId"":""QID256""}","{""ImportId"":""QID256_17_TEXT""}","{""ImportId"":""QID257""}","{""ImportId"":""QID259_FIRST_CLICK""}","{""ImportId"":""QID259_LAST_CLICK""}","{""ImportId"":""QID259_PAGE_SUBMIT""}","{""ImportId"":""QID259_CLICK_COUNT""}","{""ImportId"":""Random ID""}"
2020-09-13 13:11:13,2020-09-13 13:17:16,IP Address,43.241.134.234,100,362,True,2020-09-13 13:17:16,R_1dcAD5zdLZgBEpd,,,,,19.216705322265625,73.0832977294921875,anonymous,EN,L4RY3L,,,,,Disagree,Neutral,Disagree,,,,,Agree,Stongly Agree,Agree,Agree,,,,,Neutral,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,,,,,Male,24,Bachelor's degree,"Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",,Asia,,,,,53597
2020-09-13 13:10:34,2020-09-13 13:17:53,IP Address,73.71.30.223,100,438,True,2020-09-13 13:17:53,R_1lt4StFrxYe4RWW,,,,,37.7906036376953125,-122.2411956787109375,anonymous,EN,Y1ODCD,,,,,Disagree,Disagree,Disagree,,,,,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Disagree,Disagree,Stongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Stongly Agree,Strongly Disagree,,,,,Male,32,Graduate degree,"Education (e.g., teacher)",,Europe,,,,,96571
2020-09-13 13:10:36,2020-09-13 13:19:24,IP Address,73.66.125.222,100,528,True,2020-09-13 13:19:25,R_2wuXXocSNrDZSZB,,,,,39.727203369140625,-121.812896728515625,anonymous,EN,TLD4W1,,,,,Agree,Stongly Agree,Agree,,,,,Stongly Agree,Agree,Agree,Stongly Agree,,,,,Agree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Stongly Agree,Agree,Neutral,,,,,Female,26,Bachelor's degree,"Service (e.g., retail clerks, server)",,Central America,,,,,44765
2020-09-13 13:17:13,2020-09-13 13:22:50,IP Address,103.66.79.104,100,336,True,2020-09-13 13:22:50,R_10VIfr3kM9YKdNq,,,,,10.5160064697265625,76.2156982421875,anonymous,EN,H5TVXH,,,,,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Agree,Disagree,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,Stongly Agree,Agree,,,,,Male,32,Graduate degree,"Computer engineer or IT professional (e.g., systems administrator, programmer, IT consultant)",,Asia,,,,,53688
2020-09-13 13:12:05,2020-09-13 13:27:06,IP Address,117.199.3.147,100,900,True,2020-09-13 13:27:06,R_3OoTy9SSxFOJBWK,,,,,8.485504150390625,76.949188232421875,anonymous,EN,PH8N3D,,,,,Neutral,Neutral,Disagree,,,,,Agree,Stongly Agree,Stongly Agree,Stongly Agree,,,,,Disagree,Strongly Disagree,Stongly Agree,Strongly Disagree,Agree,Disagree,Stongly Agree,Strongly Disagree,Stongly Agree,Strongly Disagree,,,,,Male,32,Bachelor's degree,"Engineer in other fields (e.g., civil engineer, bio-engineer)",,Asia,,,,,11435
2020-09-13 13:22:13,2020-09-13 13:27:19,IP Address,68.99.226.61,100,305,True,2020-09-13 13:27:19,R_1CebmX9y1p7AFKA,,,,,33.6262054443359375,-112.0074005126953125,anonymous,EN,I0SNYZ,,,,,Agree,Agree,Neutral,,,,,Agree,Agree,Agree,Stongly Agree,,,,,Neutral,Disagree,Stongly Agree,Strongly Disagree,Agree,Disagree,Stongly Agree,Strongly Disagree,Agree,Strongly Disagree,,,,,Female,57,Associate's degree,"Medical (e.g., doctor, nurse, dentist)",,North America,,,,,54793
2020-09-13 13:17:49,2020-09-13 13:27:41,IP Address,122.174.163.139,100,591,True,2020-09-13 13:27:41,R_30bLhoNQeyVGmbc,,,,,13.087799072265625,80.27850341796875,anonymous,EN,GISJHE,,,,,Agree,Agree,Agree,,,,,Agree,Stongly Agree,Agree,Stongly Agree,,,,,Agree,Stongly Agree,Agree,Agree,Stongly Agree,Agree,Agree,Stongly Agree,Agree,Agree,,,,,Male,30,Bachelor's degree,"Legal (e.g., lawyer, law clerk)",,Asia,,,,,70712
2020-09-13 13:24:12,2020-09-13 13:29:01,IP Address,75.87.134.64,100,289,True,2020-09-13 13:29:01,R_3lEmt9ow8vsapKH,,,,,38.8939056396484375,-94.70670318603515625,anonymous,EN,50,,,,,Agree,Stongly Agree,Agree,,,,,Agree,Stongly Agree,Agree,Stongly Agree,,,,,Agree,Stongly Agree,Agree,Stongly Agree,Agree,Stongly Agree,Agree,Stongly Agree,Agree,Stongly Agree,,,,,Male,32,Graduate degree,"Education (e.g., teacher)",,South America,,,,,62784
